mix_id,batch_num,sample_id,epon_828,epikote_1163,heloxy_107,glymo,nsa,ddsa,bdma,mass_air_g,mass_submerged_g,fluid_density_g_cm3,modulus,volume_cm3,density,notes
B,1,B-1-1,0.1657799999999999,0.0,0.19973,0.01031,0.29963,0.2996,0.02495,7.1089,0.6098,0.9907,1.35,6.560109013828607,1.0836557723377085,This sample had some bubbles near the outside of the part.
B,1,B-1-2,0.1657799999999999,0.0,0.19973,0.01031,0.29963,0.2996,0.02495,7.0728,0.6064,0.9907,1.49,6.527102049056223,1.0836049362860325,"This sample was turned to a diameter of 0.422"" to remove bubbles on the outside of the part."
B,1,B-1-3,0.1657799999999999,0.0,0.19973,0.01031,0.29963,0.2996,0.02495,7.1767,0.5995,0.9907,1.4,6.638942162107601,1.081000530620933,
A,1,A-1-1,0.0,0.02249,0.35084,0.01021,0.58938,0.01037,0.01671,7.1755,0.7262,0.9907,1.78,6.509841526193601,1.1022541748716914,
A,1,A-1-2,0.0,0.02249,0.35084,0.01021,0.58938,0.01037,0.01671,7.3027,0.7298,0.9907,1.62,6.634601796709397,1.1006990658613398,
A,1,A-1-3,0.0,0.02249,0.35084,0.01021,0.58938,0.01037,0.01671,7.2809,0.7296,0.9907,1.69,6.61279903098819,1.1010314945125397,
A,2,A-2-1,0.0,0.2554599999999999,0.25468,0.00509,0.25845,0.21679,0.00953,8.0269,1.4488,0.9907,2.23,6.639850610679317,1.2088976801812077,
A,2,A-2-2,0.0,0.2554599999999999,0.25468,0.00509,0.25845,0.21679,0.00953,7.9202,1.418,0.9907,2.36,6.56323811446452,1.206751890129495,
A,2,A-2-3,0.0,0.2554599999999999,0.25468,0.00509,0.25845,0.21679,0.00953,7.9782,1.426,0.9907,2.14,6.613707479559907,1.2063128018070266,
A,3,A-3-1,0.0,0.12277,0.34002,0.00367,0.43483,0.09283,0.00588,7.5412,1.0366,0.9907,1.97,6.565660643989099,1.1485820557759123,
A,3,A-3-2,0.0,0.12277,0.34002,0.00367,0.43483,0.09283,0.00588,7.7078,1.058,0.9907,1.95,6.712223680226103,1.148322875875966,
A,3,A-3-3,0.0,0.12277,0.34002,0.00367,0.43483,0.09283,0.00588,7.5254,1.0346,0.9907,2.06,6.551731099222772,1.1486124637949098,
A,4,A-4-1,0.0,0.05221000000000009,0.35647,0.01598,0.532,0.03143,0.01191,7.444,0.8359,0.9907,1.64,6.67013222973655,1.116019854421089,
A,4,A-4-2,0.0,0.05221000000000009,0.35647,0.01598,0.532,0.03143,0.01191,7.3477,0.8251,0.9907,1.65,6.583829615423437,1.1160221982031706,
A,4,A-4-3,0.0,0.05221000000000009,0.35647,0.01598,0.532,0.03143,0.01191,7.3313,0.8256,0.9907,1.7,6.566770970021197,1.1164238913568103,
A,5,A-5-1,0.0,0.0700099999999999,0.3521,0.00746,0.36412,0.16692,0.03939,7.3731,0.8394,0.9907,1.14,6.595033814474613,1.1179775885026861,
A,5,A-5-2,0.0,0.0700099999999999,0.3521,0.00746,0.36412,0.16692,0.03939,7.3116,0.8317,0.9907,1.19,6.540728777631978,1.1178570842142626,
A,5,A-5-3,0.0,0.0700099999999999,0.3521,0.00746,0.36412,0.16692,0.03939,7.3266,0.8259,0.9907,1.22,6.561724033511658,1.1165663113203195,
A,6,A-6-1,0.0,0.36341999999999997,0.1691,0.01935,0.38398,0.06147,0.00268,8.1461,1.8209,0.9907,2.65,6.38457656202685,1.2759029390375007,
A,6,A-6-2,0.0,0.36341999999999997,0.1691,0.01935,0.38398,0.06147,0.00268,8.1609,1.8231,0.9907,2.49,6.397294842030886,1.2756798305405663,
A,6,A-6-3,0.0,0.36341999999999997,0.1691,0.01935,0.38398,0.06147,0.00268,8.2824,1.853,0.9907,2.47,6.489754718885638,1.2762269698572182,
